date,ticker,action,price,shares,value,pnl,pnl_pct,entry_price,entry_date
2023-10-23,AMZN,BUY,230.17,4.344614849893557,1000.0,,,,
2023-10-23,GOOG,BUY,140.29,6.41528262884026,900.0000000000001,,,,
2023-10-23,MSFT,BUY,94.08,8.60969387755102,810.0,,,,
2023-10-23,TSLA,BUY,164.18,4.440248507735412,729.0,,,,
2023-10-24,AMZN,SELL,228.91,4.344614849893557,994.5257852891342,-5.4742147108658425,-0.5474214710865843,230.17,2023-10-23
2023-10-24,GOOG,SELL,140.53,6.41528262884026,901.5396678309218,1.5396678309217209,0.1710742034357393,140.29,2023-10-23
2023-10-25,TSLA,SELL,165.12,4.440248507735412,733.1738335972713,4.173833597271278,0.572542331587278,164.18,2023-10-23
2023-10-27,GOOG,BUY,138.35,6.642746141465363,919.023928671733,,,,
2023-10-30,AMZN,BUY,227.43,3.6368180794290965,827.1215358045595,,,,
2023-10-30,GOOG,SELL,137.56,6.642746141465363,913.7761592199753,-5.247769451757584,-0.571015540296349,138.35,2023-10-27
2023-10-31,AMZN,SELL,227.45,3.6368180794290965,827.1942721661479,0.07273636158851578,0.008793914611082698,227.43,2023-10-30
2023-10-31,MSFT,SELL,100.57,8.60969387755102,865.876913265306,55.87691326530608,6.898384353741482,94.08,2023-10-23
2023-11-01,AMZN,BUY,228.04,4.407534277711131,1005.0941166892462,,,,
2023-11-01,GOOG,BUY,138.35,6.5383787858353575,904.5847050203216,,,,
2023-11-01,TSLA,BUY,165.45,4.920678359131396,814.1262345182895,,,,
2023-11-02,AMZN,SELL,227.86,4.407534277711131,1004.3007605192582,-0.7933561699879083,-0.07893352043499835,228.04,2023-11-01
2023-11-06,TSLA,SELL,164.32,4.920678359131396,808.565867972471,-5.5603665458184555,-0.6829857963130848,165.45,2023-11-01
2023-11-07,AAPL,BUY,275.24,3.3207392599754155,914.0002739156334,,,,
2023-11-07,GOOG,SELL,137.36,6.5383787858353575,898.1117100223448,-6.472994997976878,-0.7155764365738948,138.35,2023-11-01
2023-11-07,TSLA,BUY,166.2,5.48984005731832,912.4114175263047,,,,
2023-11-08,AAPL,SELL,276.38,3.3207392599754155,917.7859166720053,3.7856427563719284,0.41418398488590746,275.24,2023-11-07
2023-11-08,MSFT,BUY,99.92,9.136798112899067,912.9488674408748,,,,
2023-11-08,TSLA,SELL,166.03,5.48984005731832,911.4781447165607,-0.9332728097440457,-0.10228640192538885,166.2,2023-11-07
2023-11-09,AAPL,BUY,276.55,3.30067544808694,912.8017951684433,,,,
2023-11-09,MSFT,SELL,101.01,9.136798112899067,922.9079773839347,9.959109943060014,1.0908726981585293,99.92,2023-11-08
2023-11-13,AAPL,SELL,279.02,3.30067544808694,920.954463525218,8.152668356774644,0.8931477128909737,276.55,2023-11-09
2023-11-13,MSFT,BUY,102.26,9.836767648567518,1005.9078597425145,,,,
2023-11-14,MSFT,SELL,103.33,9.836767648567518,1016.4332011264817,10.525341383967177,1.0463524349696884,102.26,2023-11-13
2023-11-15,AAPL,BUY,276.83,3.6374684603580216,1006.960393880911,,,,
2023-11-15,AMZN,BUY,230.17,3.937369572458705,906.2643544928201,,,,
2023-11-15,GOOG,BUY,135.58,6.015916204776058,815.6379190435381,,,,
2023-11-15,TSLA,BUY,164.55,4.461100742261831,734.0741271391843,,,,
2023-11-16,AAPL,SELL,276.01,3.6374684603580216,1003.9776697434176,-2.982724137493553,-0.29621067080879415,276.83,2023-11-15
2023-11-16,GOOG,SELL,134.11,6.015916204776058,806.7945222225172,-8.843396821020798,-1.0842307124944717,135.58,2023-11-15
2023-11-17,AMZN,SELL,227.55,3.937369572458705,895.9484462129783,-10.315908279841713,-1.1382890906721066,230.17,2023-11-15
2023-11-17,GOOG,BUY,132.39,7.034812132662266,931.3387782431572,,,,
2023-11-20,GOOG,SELL,130.1,7.034812132662266,915.2290584593608,-16.109719783796532,-1.7297378956114495,132.39,2023-11-17
2023-11-20,MSFT,BUY,105.68,8.797575759507737,929.7278062647777,,,,
2023-11-21,GOOG,BUY,129.04,6.484462380953967,836.7550256382998,,,,
2023-11-21,MSFT,SELL,105.74,8.797575759507737,930.2556608103481,0.5278545455703592,0.05677517032549595,105.68,2023-11-20
2023-11-22,GOOG,SELL,131.2,6.484462380953967,850.7614643811604,14.006438742860546,1.673899566026038,129.04,2023-11-21
2023-11-22,MSFT,BUY,105.23,8.849009176029845,931.1812355936207,,,,
2023-11-23,AAPL,BUY,274.46,3.053498185652768,838.0631120342587,,,,
2023-11-23,GOOG,BUY,130.6,5.775320067617403,754.2568008308328,,,,
2023-11-23,TSLA,SELL,170.25,4.461100742261831,759.5024013700767,25.428274230892384,3.463992707383756,164.55,2023-11-15
2023-11-24,MSFT,SELL,103.84,8.849009176029845,918.8811128389392,-12.30012275468149,-1.3209160885679028,105.23,2023-11-22
2023-11-24,TSLA,BUY,170.66,4.961147733321524,846.6694721686513,,,,
2023-11-27,AAPL,SELL,271.59,3.053498185652768,829.2995722414352,-8.763539792823458,-1.0456897179916935,274.46,2023-11-23
2023-11-28,TSLA,SELL,171.11,4.961147733321524,848.901988648646,2.2325164799947705,0.26368217508496716,170.66,2023-11-24
2023-11-30,GOOG,SELL,131.57,5.775320067617403,759.8588612964217,5.602060465588874,0.7427258805513093,130.6,2023-11-23
2023-11-30,TSLA,BUY,169.55,5.932223929050052,1005.8085671704363,,,,
2023-12-01,AAPL,BUY,269.39,3.36028698338243,905.2277104533928,,,,
2023-12-01,MSFT,BUY,99.27,8.20696020356657,814.7049394080534,,,,
2023-12-01,TSLA,SELL,170.12,5.932223929050052,1009.1899348099948,3.381367639558489,0.33618401651429597,169.55,2023-11-30
2023-12-04,GOOG,BUY,132.97,6.273245385788129,834.1534389482475,,,,
2023-12-04,MSFT,SELL,98.88,8.20696020356657,811.5042249286624,-3.200714479390967,-0.3928679359323062,99.27,2023-12-01
2023-12-05,MSFT,BUY,98.48,8.447283890600009,831.8885175462889,,,,
2023-12-06,AAPL,SELL,271.97,3.36028698338243,913.8972508705195,8.669540417126807,0.9577192917331834,269.39,2023-12-01
2023-12-06,TSLA,BUY,172.36,4.874039167316732,840.0893908787119,,,,
2023-12-07,AAPL,BUY,271.96,2.7801163839933842,756.0804517908407,,,,
2023-12-08,GOOG,SELL,128.9,6.273245385788129,808.6213302280898,-25.53210872015764,-3.0608407911558944,132.97,2023-12-04
2023-12-11,AMZN,BUY,229.73,3.314040567773324,761.3345396345657,,,,
2023-12-12,AAPL,SELL,273.4,2.7801163839933842,760.0838193837911,4.003367592950467,0.5294896308280617,271.96,2023-12-07
2023-12-12,AMZN,SELL,230.19,3.314040567773324,762.8589982957413,1.5244586611757553,0.20023505854698254,229.73,2023-12-11
2023-12-12,MSFT,SELL,94.64,8.447283890600009,799.4509474063848,-32.43757013990406,-3.8992688870836734,98.48,2023-12-05
2023-12-12,TSLA,SELL,176.3,4.874039167316732,859.2931051979399,19.203714319227913,2.2859132049199316,172.36,2023-12-06
2023-12-13,MSFT,BUY,95.71,10.483437182107354,1003.3697726994948,,,,
2023-12-14,MSFT,SELL,96.33,10.483437182107354,1009.8695037524013,6.499731052906607,0.6477901995611823,95.71,2023-12-13
