date,ticker,open,high,low,close,volume,return_1d,return_3d,return_5d,log_return_1d,sma_5,price_to_sma_5,sma_10,price_to_sma_10,rsi_14,macd,macd_signal,macd_histogram,next_day_return,direction,next_day_return_label
2023-01-19,AAPL,293.79,295.77,293.27,293.42,4841815,-0.0020406775049315318,-0.011254886103248318,-0.01599651229082122,-0.0020427625243221127,295.402,0.993290499048754,297.047,0.9877898110400037,30.01631321370337,-0.8965939194077919,-0.3108769437619659,-0.585716975645826,0.009815281848544632,1,0.009815281848544632
2023-01-20,AAPL,296.45,297.9,295.88,296.3,2079188,0.009815281848544632,0.005020012210840585,-0.005671331252726564,0.009767424868021476,295.06399999999996,1.0041889217254563,296.742,0.9985104905945231,43.32892998679007,-0.8510652771735181,-0.41891461044427636,-0.43215066672924174,-0.001552480593992711,0,-0.001552480593992711
2023-01-23,AAPL,296.07,296.89,295.43,295.84,3635923,-0.001552480593992711,0.006190055098292513,-0.0031001482679606784,-0.001553686940704977,294.88,1.0032555615843732,296.486,0.9978211450119061,37.43944636678191,-0.8423910956261125,-0.5036099074806436,-0.33878118814546887,-0.0077406706327743935,0,-0.0077406706327743935
2023-01-24,AAPL,294.71,295.29,292.99,293.55,2819415,-0.0077406706327743935,0.00044305091677454556,-0.004307713180923933,-0.007770785128619708,294.62600000000003,0.9963479122684351,295.888,0.9920983615422053,35.084306095979386,-1.0086732485946754,-0.60462257570345,-0.4040506728912254,0.0025208652699710843,1,0.0025208652699710843
2023-01-25,AAPL,294.38,295.85,293.69,294.29,1610703,0.0025208652699710843,-0.006783665204184941,0.0009183048772194446,0.0025176932188736767,294.68,0.9986765304737343,295.51800000000003,0.9958445847630263,34.01450230718537,-1.0684250978025602,-0.6973830801232721,-0.3710420176792881,0.007169798498080082,1,0.007169798498080082
2023-01-26,AAPL,295.48,296.41,295.27,296.4,4544781,0.007169798498080082,0.0018929150892375013,0.010156090246063565,0.007144217692863214,295.276,1.0038066080548367,295.339,1.0035924818598287,41.35910954891606,-0.9347443517654597,-0.7448553344517096,-0.18988901731375007,0.0031376518218624305,1,0.0031376518218624305
2023-01-27,AAPL,296.57,298.05,296.35,297.33,3208067,0.0031376518218624305,0.012876852324987142,0.0034762065474180925,0.0031327396647950418,295.482,1.0062541880723697,295.27299999999997,1.006966434452185,46.86217008797654,-0.7451683330552896,-0.7449179341724257,-0.00025039888286393364,-0.0002354286483031709,0,-0.0002354286483031709
2023-01-30,AAPL,297.0,298.8,296.96,297.26,1534651,-0.0002354286483031709,0.010092086037581938,0.004799891833423553,-0.00023545636597783364,295.766,1.0050512905472568,295.323,1.0065589202331007,42.90181363352096,-0.5937322120367412,-0.7146807897452888,0.12094857770854761,-0.003330417816053366,0,-0.003330417816053366
2023-01-31,AAPL,295.96,296.66,295.49,296.27,3188931,-0.003330417816053366,-0.00043859649122801603,0.009265883154488064,-0.003335976001619341,296.31,0.9998650062434612,295.46799999999996,1.002714337931688,44.43005181347139,-0.547293858394994,-0.6812034034752299,0.1339095450802359,-0.001012589867350533,0,-0.001012589867350533
2023-02-01,AAPL,294.65,296.04,294.63,295.97,2689693,-0.001012589867350533,-0.004574042309891224,0.0057086547283291544,-0.0010131028828156768,296.646,0.9977211895660147,295.66299999999995,1.0010383443312152,42.85714285714291,-0.5286051897766129,-0.6506837607355066,0.12207857095889374,0.008548163665236252,1,0.008548163665236252
2023-02-02,AAPL,298.58,298.72,298.38,298.5,3611381,0.008548163665236252,0.004171432416066878,0.00708502024291513,0.008511834996342935,297.066,1.004827210114924,296.171,1.0078637003622908,51.42697257974257,-0.3061157178986491,-0.5817701521681351,0.275654434269486,-0.004221105527638214,0,-0.004221105527638214
2023-02-03,AAPL,297.53,297.57,295.69,297.24,1535377,-0.004221105527638214,0.0032740405711007003,-0.00030269397638982287,-0.0042300395433883,297.048,1.0006463601842126,296.265,1.0032909726089818,51.34078212290509,-0.22882492690706613,-0.5111811071159214,0.2823561802088552,0.00047099986542864514,1,0.00047099986542864514
2023-02-06,AAPL,297.21,297.77,296.65,297.38,4687043,0.00047099986542864514,0.004763996350981348,0.00040368700800641477,0.0004708889798087367,297.072,1.0010367856950504,296.419,1.003242032393335,57.9503105590063,-0.15449368123671547,-0.4398436219400802,0.2853499407033647,0.005884726612415125,1,0.005884726612415125
2023-02-07,AAPL,299.12,300.34,298.46,299.13,2820668,0.005884726612415125,0.002110552763818996,0.009653356735410235,0.005867479239734078,297.644,1.004992541425327,296.977,1.0072497196752612,64.98533724340194,0.045104801054776544,-0.34285393734110886,0.3879587383958854,0.002039247150068535,1,0.002039247150068535
2023-02-08,AAPL,299.83,301.49,299.5,299.74,4514296,0.002039247150068535,0.008410711882653743,0.012737777477446866,0.0020371707080388,298.398,1.0044973491779434,297.522,1.0074549108973454,68.52286049237993,0.24963233218278447,-0.2243566834363302,0.47398901561911466,0.004804163608460588,1,0.004804163608460588
2023-02-09,AAPL,300.62,301.57,299.75,301.18,4193531,0.004804163608460588,0.012778263501244336,0.008978224455611361,0.004792660441823253,298.934,1.0075133641539604,298.0,1.0106711409395974,65.62099871959036,0.5219016818451223,-0.0751050103800397,0.597006692225162,-0.0023905969851916176,0,-0.0023905969851916176
2023-02-10,AAPL,299.88,300.63,299.69,300.46,2751957,-0.0023905969851916176,0.0044462273927723395,0.01083299690485795,-0.0023934590243958,299.578,1.0029441414256053,298.313,1.0071971385759253,64.54659949622179,0.6718346289384272,0.07428291748365368,0.5975517114547735,-0.005391732676562566,0,-0.005391732676562566
